t,x,y,z,xd,yd,zd,xdd,ydd,zdd,zdd_grav,atmos_pres
0,0,0,0,0,0,0,5.9107,0,56.2365,-9.7941,85.7596
0.01,0,0,0,0.059107,0,0.562365,0,0,0,-9.7941,85.7596
0.02,0.00059107,0,0.00562365,0.059107,0,0.562365,0,0,0,-9.7941,85.7595
0.03,0.00118214,0,0.0112473,0.059107,0,0.562365,0,0,0,-9.7941,85.7594
0.04,0.00177321,0,0.016871,0.059107,0,0.562365,0,0,0,-9.7941,85.7594
0.05,0.00236428,0,0.0224946,0.059107,0,0.562365,0,0,0,-9.7941,85.7593
0.06,0.00295535,0,0.0281183,0.059107,0,0.562365,0.048623,0,0.462617,-9.7941,85.7593
0.07,0.00354642,0,0.0337419,0.0595932,0,0.566992,0.226343,0,2.15351,-9.7941,85.7592
0.08,0.00414235,0,0.0394118,0.0618566,0,0.588527,0.404027,0,3.84406,-9.7941,85.7592
0.09,0.00476092,0,0.0452971,0.0658969,0,0.626967,0.581669,0,5.53421,-9.7941,85.7591
0.1,0.00541989,0,0.0515668,0.0717136,0,0.682309,0.759264,0,7.22392,-9.7941,85.759
0.11,0.00613702,0,0.0583899,0.0793063,0,0.754549,0.936807,0,8.91312,-9.7941,85.759
0.12,0.00693009,0,0.0659354,0.0886743,0,0.84368,1.11429,0,10.6018,-9.7941,85.7589
0.13,0.00781683,0,0.0743722,0.0998172,0,0.949698,1.29171,0,12.2898,-9.7941,85.7588
0.14,0.008815,0,0.0838691,0.112734,0,1.0726,1.46906,0,13.9772,-9.7941,85.7587
0.15,0.00994234,0,0.0945951,0.127425,0,1.21237,1.64634,0,15.6639,-9.7941,85.7586
0.16,0.0112166,0,0.106719,0.143888,0,1.36901,1.82353,0,17.3498,-9.7941,85.7584
0.17,0.0126555,0,0.120409,0.162124,0,1.5425,2.00064,0,19.0348,-9.7941,85.7583
0.18,0.0142767,0,0.135834,0.18213,0,1.73285,2.17766,0,20.719,-9.7941,85.7581
0.19,0.016098,0,0.153162,0.203907,0,1.94004,2.35457,0,22.4023,-9.7941,85.758
0.2,0.0181371,0,0.172563,0.227452,0,2.16407,2.53139,0,24.0845,-9.7941,85.7578
0.21,0.0204116,0,0.194203,0.252766,0,2.40491,2.70809,0,25.7657,-9.7941,85.7575
0.22,0.0229393,0,0.218253,0.279847,0,2.66257,2.88467,0,27.4458,-9.7941,85.7573
0.23,0.0257377,0,0.244878,0.308694,0,2.93703,3.06112,0,29.1246,-9.7941,85.757
0.24,0.0288247,0,0.274249,0.339305,0,3.22827,3.23744,0,30.8022,-9.7941,85.7567
0.25,0.0322177,0,0.306531,0.371679,0,3.53629,3.41364,0,32.4786,-9.7941,85.7564
0.26,0.0359345,0,0.341894,0.405816,0,3.86108,3.5897,0,34.1537,-9.7941,85.756
0.27,0.0399927,0,0.380505,0.441713,0,4.20262,3.76561,0,35.8274,-9.7941,85.7556
0.28,0.0444098,0,0.422531,0.479369,0,4.56089,3.94138,0,37.4997,-9.7941,85.7551
0.29,0.0492035,0,0.46814,0.518783,0,4.93589,4.11698,0,39.1705,-9.79409,85.7547
0.3,0.0543913,0,0.517499,0.559953,0,5.32759,4.29242,0,40.8397,-9.79409,85.7541
0.31,0.0599909,0,0.570775,0.602877,0,5.73599,4.46769,0,42.5073,-9.79409,85.7536
0.32,0.0660196,0,0.628135,0.647554,0,6.16106,4.64278,0,44.1731,-9.79409,85.753
0.33,0.0724952,0,0.689745,0.693982,0,6.60279,4.81769,0,45.8373,-9.79409,85.7523
0.34,0.079435,0,0.755773,0.742159,0,7.06117,4.99242,0,47.4997,-9.79409,85.7516
0.35,0.0868566,0,0.826385,0.792083,0,7.53616,5.16695,0,49.1602,-9.79409,85.7509
0.36,0.0947774,0,0.901747,0.843752,0,8.02777,5.34128,0,50.8189,-9.79409,85.7501
0.37,0.103215,0,0.982024,0.897165,0,8.53596,5.5154,0,52.4756,-9.79409,85.7493
0.38,0.112187,0,1.06738,0.952319,0,9.06071,5.68931,0,54.1302,-9.79409,85.7484
0.39,0.12171,0,1.15799,1.00921,0,9.60201,5.863,0,55.7828,-9.79409,85.7474
0.4,0.131802,0,1.25401,1.06784,0,10.1598,6.03647,0,57.4332,-9.79409,85.7464
0.41,0.14248,0,1.35561,1.12821,0,10.7342,6.14305,0,58.4472,-9.79409,85.7454
0.42,0.153762,0,1.46295,1.18964,0,11.3186,6.14952,0,58.5088,-9.79409,85.7442
0.43,0.165659,0,1.57614,1.25113,0,11.9037,6.15597,0,58.5702,-9.79409,85.743
0.44,0.17817,0,1.69517,1.31269,0,12.4894,6.1624,0,58.6313,-9.79409,85.7418
0.45,0.191297,0,1.82007,1.37432,0,13.0757,6.1688,0,58.6922,-9.79409,85.7405
0.46,0.20504,0,1.95083,1.436,0,13.6627,6.17518,0,58.7529,-9.79409,85.7391
0.47,0.2194,0,2.08745,1.49776,0,14.2502,6.18153,0,58.8133,-9.79409,85.7377
0.48,0.234378,0,2.22996,1.55957,0,14.8383,6.18786,0,58.8735,-9.79409,85.7362
0.49,0.249973,0,2.37834,1.62145,0,15.4271,6.19416,0,58.9335,-9.79409,85.7346
0.5,0.266188,0,2.53261,1.68339,0,16.0164,6.20044,0,58.9933,-9.79409,85.733
0.51,0.283022,0,2.69277,1.7454,0,16.6063,6.2067,0,59.0528,-9.79409,85.7313
0.52,0.300476,0,2.85884,1.80746,0,17.1969,6.21293,0,59.1121,-9.79409,85.7296
0.53,0.31855,0,3.03081,1.86959,0,17.788,6.21913,0,59.1711,-9.79409,85.7278
0.54,0.337246,0,3.20869,1.93178,0,18.3797,6.22532,0,59.2299,-9.79409,85.7259
0.55,0.356564,0,3.39248,1.99404,0,18.972,6.23147,0,59.2885,-9.79409,85.724
0.56,0.376505,0,3.5822,2.05635,0,19.5649,6.23761,0,59.3469,-9.79409,85.722
0.57,0.397068,0,3.77785,2.11873,0,20.1583,6.24372,0,59.405,-9.79408,85.72
0.58,0.418255,0,3.97943,2.18116,0,20.7524,6.2498,0,59.4629,-9.79408,85.7179
0.59,0.440067,0,4.18696,2.24366,0,21.347,6.25587,0,59.5206,-9.79408,85.7157
0.6,0.462504,0,4.40043,2.30622,0,21.9422,6.2619,0,59.578,-9.79408,85.7135
0.61,0.485566,0,4.61985,2.36884,0,22.538,6.26791,0,59.6352,-9.79408,85.7112
0.62,0.509254,0,4.84523,2.43152,0,23.1344,6.2739,0,59.6922,-9.79408,85.7088
0.63,0.533569,0,5.07657,2.49426,0,23.7313,6.27987,0,59.7489,-9.79408,85.7064
0.64,0.558512,0,5.31389,2.55706,0,24.3288,7.30396,0,59.6984,-9.79408,85.7039
0.65,0.584083,0,5.55718,2.6301,0,24.9258,7.33828,0,59.7517,-9.79408,85.7013
0.66,0.610384,0,5.80643,2.70348,0,25.5233,7.37206,0,59.8048,-9.79408,85.6987
0.67,0.637418,0,6.06167,2.7772,0,26.1213,7.40533,0,59.8577,-9.79408,85.6961
0.68,0.66519,0,6.32288,2.85125,0,26.7199,7.43794,0,59.9089,-9.79408,85.6933
0.69,0.693703,0,6.59008,2.92563,0,27.319,7.46859,0,59.9461,-9.79408,85.6905
0.7,0.722959,0,6.86327,3.00032,0,27.9185,7.49877,0,59.9832,-9.79408,85.6877
0.71,0.752962,0,7.14245,3.07531,0,28.5183,7.52849,0,60.02,-9.79407,85.6847
0.72,0.783716,0,7.42764,3.15059,0,29.1185,7.55779,0,60.0567,-9.79407,85.6817
0.73,0.815221,0,7.71882,3.22617,0,29.7191,7.58666,0,60.0932,-9.79407,85.6787
0.74,0.847483,0,8.01601,3.30204,0,30.32,7.61512,0,60.1295,-9.79407,85.6756
0.75,0.880504,0,8.31921,3.37819,0,30.9213,7.64319,0,60.1657,-9.79407,85.6724
0.76,0.914285,0,8.62842,3.45462,0,31.5229,7.67088,0,60.2017,-9.79407,85.6692
0.77,0.948832,0,8.94365,3.53133,0,32.125,7.6982,0,60.2375,-9.79407,85.6659
0.78,0.984145,0,9.2649,3.60831,0,32.7273,7.72516,0,60.2731,-9.79407,85.6625
0.79,1.02023,0,9.59218,3.68556,0,33.3301,7.75178,0,60.3085,-9.79407,85.6591
0.8,1.05708,0,9.92548,3.76308,0,33.9331,7.77807,0,60.3438,-9.79407,85.6556
0.81,1.09471,0,10.2648,3.84086,0,34.5366,7.80402,0,60.3788,-9.79406,85.652
0.82,1.13312,0,10.6102,3.9189,0,35.1404,7.82966,0,60.4137,-9.79406,85.6484
0.83,1.17231,0,10.9616,3.9972,0,35.7445,7.855,0,60.4484,-9.79406,85.6447
0.84,1.21228,0,11.319,4.07575,0,36.349,7.88003,0,60.4829,-9.79406,85.641
0.85,1.25304,0,11.6825,4.15455,0,36.9538,7.90478,0,60.5173,-9.79406,85.6372
0.86,1.29459,0,12.052,4.23359,0,37.559,7.92924,0,60.5514,-9.79406,85.6333
0.87,1.33692,0,12.4276,4.31289,0,38.1645,7.95342,0,60.5854,-9.79406,85.6294
0.88,1.38005,0,12.8093,4.39242,0,38.7704,7.97734,0,60.6191,-9.79406,85.6254
0.89,1.42398,0,13.197,4.47219,0,39.3766,8.001,0,60.6527,-9.79406,85.6213
0.9,1.4687,0,13.5908,4.5522,0,39.9831,8.0244,0,60.6861,-9.79405,85.6172
0.91,1.51422,0,13.9906,4.63245,0,40.5899,8.04755,0,60.7193,-9.79405,85.613
0.92,1.56054,0,14.3965,4.71292,0,41.1971,8.07046,0,60.7523,-9.79405,85.6088
0.93,1.60767,0,14.8085,4.79363,0,41.8047,8.09313,0,60.7852,-9.79405,85.6045
0.94,1.65561,0,15.2265,4.87456,0,42.4125,8.11557,0,60.8178,-9.79405,85.6001
0.95,1.70436,0,15.6506,4.95572,0,43.0207,8.13779,0,60.8503,-9.79405,85.5957
0.96,1.75391,0,16.0808,5.03709,0,43.6292,8.15733,0,60.8613,-9.79405,85.5911
0.97,1.80428,0,16.5171,5.11867,0,44.2378,8.17602,0,60.8668,-9.79405,85.5866
0.98,1.85547,0,16.9595,5.20043,0,44.8465,8.1945,0,60.8722,-9.79404,85.582
0.99,1.90747,0,17.408,5.28237,0,45.4552,8.21277,0,60.8774,-9.79404,85.5773
1,1.9603,0,17.8625,5.3645,0,46.064,8.23082,0,60.8825,-9.79404,85.5725
1.01,2.01394,0,18.3232,5.44681,0,46.6728,8.24866,0,60.8874,-9.79404,85.5677
1.02,2.06841,0,18.7899,5.52929,0,47.2817,8.26631,0,60.8922,-9.79404,85.5628
1.03,2.1237,0,19.2627,5.61196,0,47.8906,8.28375,0,60.8968,-9.79404,85.5579
1.04,2.17982,0,19.7416,5.6948,0,48.4996,8.30101,0,60.9012,-9.79404,85.5528
1.05,2.23677,0,20.2266,5.77781,0,49.1086,8.31807,0,60.9056,-9.79403,85.5478
1.06,2.29455,0,20.7177,5.86099,0,49.7176,8.33495,0,60.9097,-9.79403,85.5426
1.07,2.35316,0,21.2149,5.94434,0,50.3267,8.35164,0,60.9138,-9.79403,85.5374
1.08,2.4126,0,21.7181,6.02785,0,50.9359,8.36816,0,60.9176,-9.79403,85.5322
1.09,2.47288,0,22.2275,6.11153,0,51.545,8.3845,0,60.9213,-9.79403,85.5268
1.1,2.534,0,22.7429,6.19538,0,52.1542,8.40067,0,60.9249,-9.79403,85.5215
1.11,2.59595,0,23.2645,6.27939,0,52.7635,8.41667,0,60.9283,-9.79402,85.516
1.12,2.65874,0,23.7921,6.36355,0,53.3728,8.4325,0,60.9316,-9.79402,85.5105
1.13,2.72238,0,24.3258,6.44788,0,53.9821,8.44817,0,60.9347,-9.79402,85.5049
1.14,2.78686,0,24.8657,6.53236,0,54.5914,8.46369,0,60.9377,-9.79402,85.4993
1.15,2.85218,0,25.4116,6.617,0,55.2008,8.47904,0,60.9405,-9.79402,85.4936
1.16,2.91835,0,25.9636,6.70179,0,55.8102,8.49424,0,60.9432,-9.79402,85.4878
1.17,2.98537,0,26.5217,6.78673,0,56.4197,8.50929,0,60.9457,-9.79401,85.4819
1.18,3.05324,0,27.0859,6.87182,0,57.0291,8.52418,0,60.948,-9.79401,85.476
1.19,3.12196,0,27.6562,6.95706,0,57.6386,8.53894,0,60.9502,-9.79401,85.4701
1.2,3.19153,0,28.2326,7.04245,0,58.2481,8.55354,0,60.9523,-9.79401,85.4641
1.21,3.26195,0,28.815,7.12799,0,58.8576,8.56801,0,60.9542,-9.79401,85.458
1.22,3.33323,0,29.4036,7.21367,0,59.4672,8.58233,0,60.956,-9.79401,85.4518
1.23,3.40537,0,29.9983,7.29949,0,60.0767,8.59517,0,60.9465,-9.794,85.4456
1.24,3.47836,0,30.5991,7.38544,0,60.6862,8.60652,0,60.9258,-9.794,85.4393
1.25,3.55222,0,31.2059,7.47151,0,61.2954,8.61774,0,60.905,-9.794,85.433
1.26,3.62693,0,31.8189,7.55769,0,61.9045,8.62882,0,60.8841,-9.794,85.4266
1.27,3.70251,0,32.4379,7.64397,0,62.5133,8.63976,0,60.863,-9.794,85.4201
1.28,3.77895,0,33.0631,7.73037,0,63.122,8.65058,0,60.8419,-9.79399,85.4136
1.29,3.85625,0,33.6943,7.81688,0,63.7304,8.66126,0,60.8206,-9.79399,85.407
1.3,3.93442,0,34.3316,7.90349,0,64.3386,8.67182,0,60.7992,-9.79399,85.4003
1.31,4.01346,0,34.975,7.99021,0,64.9466,8.68225,0,60.7777,-9.79399,85.3936
1.32,4.09336,0,35.6244,8.07703,0,65.5544,8.69256,0,60.7561,-9.79399,85.3868
1.33,4.17413,0,36.28,8.16396,0,66.1619,8.70275,0,60.7344,-9.79398,85.38
1.34,4.25577,0,36.9416,8.25098,0,66.7693,8.71281,0,60.7125,-9.79398,85.3731
1.35,4.33828,0,37.6093,8.33811,0,67.3764,8.72276,0,60.6906,-9.79398,85.3661
1.36,4.42166,0,38.2831,8.42534,0,67.9833,8.73259,0,60.6685,-9.79398,85.3591
1.37,4.50591,0,38.9629,8.51267,0,68.59,8.74231,0,60.6463,-9.79398,85.352
1.38,4.59104,0,39.6488,8.60009,0,69.1964,8.75191,0,60.6241,-9.79397,85.3448
1.39,4.67704,0,40.3408,8.68761,0,69.8027,8.76141,0,60.6017,-9.79397,85.3376
1.4,4.76392,0,41.0388,8.77522,0,70.4087,8.77079,0,60.5791,-9.79397,85.3303
1.41,4.85167,0,41.7429,8.86293,0,71.0145,8.78006,0,60.5565,-9.79397,85.3229
1.42,4.9403,0,42.453,8.95073,0,71.6201,8.78923,0,60.5338,-9.79397,85.3155
1.43,5.0298,0,43.1692,9.03862,0,72.2254,8.79829,0,60.511,-9.79396,85.3081
1.44,5.12019,0,43.8915,9.12661,0,72.8305,8.80724,0,60.488,-9.79396,85.3005
1.45,5.21146,0,44.6198,9.21468,0,73.4354,8.8161,0,60.465,-9.79396,85.2929
1.46,5.3036,0,45.3541,9.30284,0,74.04,8.82485,0,60.4418,-9.79396,85.2853
1.47,5.39663,0,46.0945,9.39109,0,74.6444,8.8335,0,60.4185,-9.79395,85.2775
1.48,5.49054,0,46.841,9.47942,0,75.2486,8.84205,0,60.3951,-9.79395,85.2697
1.49,5.58534,0,47.5935,9.56784,0,75.8526,8.8505,0,60.3716,-9.79395,85.2619
1.5,5.68102,0,48.352,9.65635,0,76.4563,8.85849,0,60.3451,-9.79395,85.254
1.51,5.77758,0,49.1165,9.74493,0,77.0598,8.86489,0,60.3067,-9.79395,85.246
1.52,5.87503,0,49.8871,9.83358,0,77.6628,8.8712,0,60.2682,-9.79394,85.238
1.53,5.97336,0,50.6638,9.92229,0,78.2655,8.87741,0,60.2297,-9.79394,85.2299
1.54,6.07259,0,51.4464,10.0111,0,78.8678,8.88353,0,60.191,-9.79394,85.2217
1.55,6.1727,0,52.2351,10.0999,0,79.4697,8.88955,0,60.1523,-9.79394,85.2135
1.56,6.2737,0,53.0298,10.1888,0,80.0712,8.89549,0,60.1135,-9.79393,85.2052
1.57,6.37558,0,53.8305,10.2778,0,80.6724,8.90133,0,60.0746,-9.79393,85.1968
1.58,6.47836,0,54.6372,10.3668,0,81.2731,8.90708,0,60.0356,-9.79393,85.1884
1.59,6.58203,0,55.45,10.4558,0,81.8735,8.91275,0,59.9966,-9.79393,85.18
1.6,6.68659,0,56.2687,10.545,0,82.4734,8.91833,0,59.9574,-9.79392,85.1714
1.61,6.79204,0,57.0934,10.6341,0,83.073,8.92382,0,59.9181,-9.79392,85.1628
1.62,6.89838,0,57.9242,10.7234,0,83.6722,8.9292,0,59.8786,-9.79392,85.1542
1.63,7.00561,0,58.7609,10.8127,0,84.271,8.93449,0,59.839,-9.79392,85.1455
1.64,7.11374,0,59.6036,10.902,0,84.8694,8.9397,0,59.7993,-9.79391,85.1367
1.65,7.22276,0,60.4523,10.9914,0,85.4674,8.94483,0,59.7595,-9.79391,85.1278
1.66,7.33267,0,61.307,11.0809,0,86.065,8.94988,0,59.7197,-9.79391,85.1189
1.67,7.44348,0,62.1676,11.1704,0,86.6622,8.95485,0,59.6797,-9.79391,85.11
1.68,7.55519,0,63.0342,11.2599,0,87.2589,8.95973,0,59.6397,-9.7939,85.1009
1.69,7.66779,0,63.9068,11.3495,0,87.8553,8.96454,0,59.5996,-9.7939,85.0918
1.7,7.78128,0,64.7854,11.4392,0,88.4513,8.96927,0,59.5594,-9.7939,85.0827
1.71,7.89567,0,65.6699,11.5289,0,89.0469,8.97392,0,59.5192,-9.79389,85.0735
1.72,8.01096,0,66.5604,11.6186,0,89.6421,8.97849,0,59.4788,-9.79389,85.0642
1.73,8.12715,0,67.4568,11.7084,0,90.2369,8.98299,0,59.4384,-9.79389,85.0549
1.74,8.24423,0,68.3592,11.7982,0,90.8313,8.98741,0,59.3978,-9.79389,85.0455
1.75,8.36221,0,69.2675,11.8881,0,91.4253,8.99176,0,59.3572,-9.79388,85.036
1.76,8.48109,0,70.1817,11.978,0,92.0188,8.99603,0,59.3166,-9.79388,85.0265
1.77,8.60087,0,71.1019,12.068,0,92.612,9.00023,0,59.2758,-9.79388,85.0169
1.78,8.72155,0,72.028,12.158,0,93.2048,9.00319,0,59.226,-9.79388,85.0073
1.79,8.84313,0,72.9601,12.248,0,93.797,9.00608,0,59.1761,-9.79387,84.9976
1.8,8.96561,0,73.898,12.3381,0,94.3888,9.00889,0,59.1261,-9.79387,84.9878
1.81,9.08899,0,74.8419,12.4281,0,94.9801,9.01163,0,59.0761,-9.79387,84.978
1.82,9.21327,0,75.7917,12.5183,0,95.5708,9.01431,0,59.026,-9.79386,84.9681
1.83,9.33846,0,76.7474,12.6084,0,96.1611,9.01691,0,58.9759,-9.79386,84.9582
1.84,9.46454,0,77.7091,12.6986,0,96.7508,9.01945,0,58.9256,-9.79386,84.9482
1.85,9.59153,0,78.6766,12.7888,0,97.3401,9.02192,0,58.8754,-9.79385,84.9381
1.86,9.71941,0,79.65,12.879,0,97.9288,9.02432,0,58.825,-9.79385,84.928
1.87,9.8482,0,80.6292,12.9692,0,98.5171,9.02666,0,58.7746,-9.79385,84.9178
1.88,9.9779,0,81.6144,13.0595,0,99.1048,9.02893,0,58.7242,-9.79385,84.9076
1.89,10.1085,0,82.6055,13.1498,0,99.6921,9.03113,0,58.6736,-9.79384,84.8973
1.9,10.24,0,83.6024,13.2401,0,100.279,9.03327,0,58.623,-9.79384,84.8869
1.91,10.3724,0,84.6052,13.3304,0,100.865,9.03535,0,58.5724,-9.79384,84.8765
1.92,10.5057,0,85.6138,13.4208,0,101.451,9.03736,0,58.5217,-9.79383,84.866
1.93,10.6399,0,86.6283,13.5112,0,102.036,9.03932,0,58.4709,-9.79383,84.8555
1.94,10.775,0,87.6487,13.6015,0,102.621,9.04121,0,58.4201,-9.79383,84.8449
1.95,10.911,0,88.6749,13.692,0,103.205,9.04304,0,58.3692,-9.79382,84.8342
1.96,11.0479,0,89.707,13.7824,0,103.789,9.0448,0,58.3183,-9.79382,84.8235
1.97,11.1858,0,90.7448,13.8728,0,104.372,9.04651,0,58.2673,-9.79382,84.8127
1.98,11.3245,0,91.7886,13.9633,0,104.954,9.04816,0,58.2162,-9.79381,84.8018
1.99,11.4641,0,92.8381,14.0538,0,105.537,9.04975,0,58.1651,-9.79381,84.7909
